AGJ,粟国空港
AKJ,旭川空港
AOJ,青森空港
ASJ,奄美空港
AXT,秋田空港
PSK,新千歳空港
FKS,福島空港
FUJ,五島福江空港
FUK,福岡空港
GAJ,山形空港
HAC,八丈島空港
HIJ,広島空港
HIW,広島西飛行場
HKD,函館空港
HNA,いわて花巻空港
HND,羽田空港
HSG,有明佐賀空港
HTR,波照間空港
IKI,壱岐空港
ISG,石垣空港
ITM,伊丹空港
IWJ,石見空港
IZO,出雲空港
KCZ,高知龍馬空港
KIJ,新潟空港
IWK,岩国空港
KIX,関西空港
KJP,慶良間空港
KKJ,北九州空港
KKX,喜界空港
KMI,宮崎空港
KMJ,熊本空港
KMQ,小松空港
KOJ,鹿児島空港
KTD,北大東空港
KUH,釧路空港
KUM,屋久島空港
MBE,オホーツク紋別空港
MMB,女満別空港
MMD,南大東空港
MMJ,松本空港
MMY,宮古空港
MSJ,三沢空港
MYE,三宅島空港
MYJ,松山空港
NGO,中部国際空港
NGS,長崎空港
NKM,名古屋空港
NRT,成田空港
NTQ,能登空港
OBO,帯広空港
OGN,与那国空港
OIM,大島空港
OIR,奥尻空港
OIT,大分空港
OKA,那覇空港
OKD,丘珠空港
OKE,沖永良部空港
OKI,隠岐空港
OKJ,岡山空港
ONJ,大館能代空港
RBJ,礼文空港
RIS,利尻空港
RNJ,与論空港
SDJ,仙台空港
SDS,佐渡空港
SHB,中標津空港
SHI,下地島空港
SHM,南紀白浜空港
SYO,庄内空港
TAK,高松空港
TKG,コウノトリ但馬空港
TKN,徳之島空港
TKS,徳島空港
TNE,種子島空港
TOY,富山空港
TRA,新多良間空港
TSJ,対馬空港
TTJ,鳥取空港
UBJ,山口宇部空港
UEO,久米島空港
UKB,神戸空港
WKJ,稚内空港
YGJ,米子空港
SHB,根室中標津空港
FSJ,静岡空港
